date,total-quantity,total-cost
01/2007,2107,1244402.4399999953
02/2007,1665,635616.63
03/2007,899,702894.0499999984
04/2007,454,599609.5500000012
05/2007,150,118087.07000000004
06/2007,119,1991397.6199999992
07/2007,615,511020.17000000057
08/2007,252,758864.38
09/2007,296,2344641.0
10/2007,314,1230440.7599999988
11/2007,265,1178323.4899999993
12/2007,262,783795.42
01/2008,362,2336364.3899999997
02/2008,551,2012557.28
03/2008,1034,1025455.1100000001
04/2008,931,618166.9500000004
05/2008,1733,2786879.489999992
06/2008,1097,2736640.2699999986
07/2008,1150,16145228.579999993
08/2008,1172,802584.7100000007
09/2008,1377,2718010.8599999975
10/2008,1622,6029826.060000019
11/2008,322,1117453.4200000032
12/2008,91,1840984.9299999988
01/2009,554,3647431.0399999996
02/2009,422,1712621.8599999992
03/2009,274,6478830.539999999
04/2009,138,2025526.8700000048
05/2009,334,522426.08999999997
06/2009,82,2248508.75
07/2009,233,5625944.299999999
08/2009,184,1346686.2999999993
09/2009,59,949201.0
10/2009,477,635264.4200000002
11/2009,521,415420.8500000006
12/2009,193,801158.38
01/2010,204,607723.1699999999
02/2010,438,457270.56000000023
03/2010,1237,7033712.81
04/2010,486,2019141.96
05/2010,219,1511244.52
06/2010,643,11211151.539999997
07/2010,523,1202589.72
08/2010,3638,2211338.4599999925
09/2010,358,1954323.1600000001
10/2010,1011,57993879.08000007
11/2010,733,1565050.399999999
12/2010,1147,4568414.2999999905
01/2011,1449,2596393.1199999973
02/2011,750,9329756.270000022
03/2011,1052,40720841.02000005
04/2011,3179,111126490.30999826
05/2011,743,3032736.9899999984
06/2011,1196,4058980.2799999984
07/2011,432,3593008.4799999995
08/2011,1081,10668452.999999998
09/2011,917,7597822.759999992
10/2011,651,11812211.6
11/2011,991,14128356.570000004
12/2011,2526,10610096.00000003
01/2012,2712,14219886.820000013
02/2012,1781,15156103.599999996
03/2012,3175,19635628.03000002
04/2012,8736,19645070.700000342
05/2012,2327,15530848.710000103
06/2012,1769,13805257.420000033
07/2012,1654,10240459.56000002
08/2012,3741,7357910.559999988
09/2012,632,12349265.349999998
10/2012,7110,5366354.619999994
11/2012,11583,10606543.790000007
12/2012,12216,10115966.28999997
01/2013,17295,14876110.460000025
02/2013,25515,14101974.69000001
03/2013,17828,9253365.130000018
04/2013,25093,23202212.850000024
05/2013,28168,13845017.579999981
06/2013,82531,13713844.390000023
07/2013,25962,16122577.36000001
08/2013,26674,26470791.089999977
09/2013,26807,85237591.99000008
10/2013,22691,41662997.000000045
11/2013,13338,19086934.44000002
12/2013,18460,16560916.680000005
01/2014,24086,19480108.169999994
02/2014,22732,113136087.17999999
03/2014,187450,259502705.78999874
04/2014,34066,54575931.05
05/2014,24024,157523865.73000014
06/2014,26438,14306972.100000003
07/2014,25591,40636493.52000017
08/2014,21228,20929105.850000184
09/2014,13804,22045898.98000001
10/2014,44880,37644384.69999996
11/2014,39094,28613654.170000035
12/2014,33769,28422207.08999998
01/2015,56487,29812367.459999986
02/2015,74264,26302020.649999954
03/2015,64343,40185047.550000064
04/2015,39718,45965763.58000003
05/2015,26305,46721374.53000003
06/2015,31871,44374642.06
07/2015,33435,28420432.020000033
08/2015,33917,23315783.030000016
09/2015,37993,30546582.419999987
