state,state-name,total-reports,total-quantity,total-cost,population,violent_crime_rate_per_100000_inhabitants,cost-grenade-launchers,quantity-grenade-launchers,cost-night-vision,quantity-night-vision,cost-assault-rifles,quantity-assault-rifles,cost-armored-vehicles,quantity-armored-vehicles,cost-aircraft,quantity-aircraft,cost-body-armor,quantity-body-armor,cost-other,quantity-other
OK,Oklahoma,2070,18057,42579335.630000226,3909500,422.0,0,0,570889.5299999997,176,272927.0,1021,22733039.0,33,3140612.0,12,10648.619999999999,19,15851219.480000073,16796
OR,Oregon,892,3153,10855784.659999996,4015792,259.8,5040.0,7,651975.18,120,139061.0,369,4992140.0,9,0,0,16790.800000000003,78,5050777.680000003,2570
PA,Pennsylvania,2498,43223,13145994.290000023,12784826,315.1,48128.0,4,859448.2499999999,133,217925.0,777,5412350.0,12,0,0,933.75,25,6607209.289999997,42272
RI,Rhode Island,980,5000,7443588.149999989,1056065,242.5,0,0,1637213.7400000002,380,90795.0,259,130271.95999999999,4,0,0,13525.829999999998,15,5571781.619999996,4342
SC,South Carolina,4345,39119,58420688.82999959,4891938,504.5,1552.0,22,497800.52000000025,154,805215.0000000062,1849,13973363.4,24,4802490.0,24,48721.409999999996,60,38291546.50000009,36986
SD,South Dakota,753,1698,5017845.370000002,853988,383.1,0,0,62553.479999999996,24,221211.0,565,2094280.0,7,381634.0,2,4927.469999999999,2,2253239.4199999995,1098
TN,Tennessee,9389,44514,138863712.64999783,6591170,612.1,5739.04,41,2323450.590000002,344,1241247.0,3019,24703090.189999998,42,3528102.0,19,166438.8,185,106895645.02999908,40864
TX,Texas,18400,389694,169127094.85999927,27470056,412.2,6555.37,897,19103089.290000014,5875,1162120.0,3518,51105830.0,92,9293420.0,26,280714.31999999995,1341,88175365.88000019,377945
UT,Utah,1824,6345,7600363.849999996,2981835,236.0,2947.8399999999997,17,327017.36,44,402167.0,1189,4951280.0,11,0,0,16660.379999999997,356,1900291.269999999,4728
VA,Virginia,3579,13138,106848211.34999967,8361808,195.6,877.8,31,7264267.179999996,555,577261.0,1688,11917630.0,25,0,0,1657.66,63,87086517.70999973,10776
VT,Vermont,249,352,1636029.1399999997,625216,118.0,0,0,31121.0,8,61766.0,168,658000.0,1,0,0,0,0,885142.1399999998,175
WA,Washington,4152,32861,32293229.68000011,7163657,284.4,645.0,41,1059508.1,272,352926.0,927,13176750.0,42,1543552.0,7,56129.18999999999,193,16103719.390000021,31379
WI,Wisconsin,3355,6690,26450845.55000017,5760940,305.8,1009.8800000000001,57,1344907.74,175,1040701.0,2408,17467420.0,30,0,0,12991.169999999998,32,6583815.759999986,3988
WV,West Virginia,1210,11210,10583208.520000001,1842050,337.9,289.56,57,179427.38,18,100393.0,254,477070.0,2,159398.0,1,8886.27,13,9657744.31,10865
WY,Wyoming,551,940,5121997.89,585613,222.1,0,0,2208.0,1,103961.0,388,3073280.0,8,0,0,0,0,1942548.8899999987,543
DC,District Of Columbia,1155,4671,27261059.160000004,675400,1269.1,0,0,3385230.0,466,249500.0,500,0,0,21919041.0,26,0,0,1707288.1600000004,3679
GU,Guam,169,924,1158066.9500000002,161797,null,0,0,25800.0,6,9480.0,79,0,0,0,0,1906.4,20,1120880.55,819
PR,Puerto Rico,674,2841,25841578.62999999,3473232,219.6,0,0,42000.0,7,0,0,1214167.0,4,184580.0,2,8777.279999999999,24,24392054.34999999,2804
VI,Virgin Islands,9,9,164934.0,107710,null,0,0,0,0,690.0,5,0,0,0,0,0,0,164244.0,4
