code,county,net-exodus,flow-to-San-Bernardino-County,flow-to-San-Diego-County,flow-to-Shasta-County,flow-to-San-Luis-Obispo-County,flow-to-Mariposa-County,flow-to-Contra-Costa-County,flow-to-Santa-Clara-County,flow-to-Trinity-County,flow-to-San-Benito-County,flow-to-San-Francisco-County,flow-to-Alameda-County,flow-to-Tuolumne-County,flow-to-Kings-County,flow-to-Fresno-County,flow-to-Kern-County,flow-to-Lassen-County,flow-to-Los-Angeles-County,flow-to-Mendocino-County,flow-to-Stanislaus-County,flow-to-Monterey-County,flow-to-Sacramento-County,flow-to-Marin-County,flow-to-Alpine-County,flow-to-Plumas-County,flow-to-Napa-County,flow-to-Inyo-County,flow-to-Santa-Barbara-County,flow-to-Placer-County,flow-to-Siskiyou-County,flow-to-Yuba-County,flow-to-Sierra-County,flow-to-San-Joaquin-County,flow-to-San-Mateo-County,flow-to-Orange-County,flow-to-Madera-County,flow-to-Mono-County,flow-to-Nevada-County,flow-to-El-Dorado-County,flow-to-Riverside-County,flow-to-Modoc-County,flow-to-Glenn-County,flow-to-Lake-County,flow-to-Calaveras-County,flow-to-Yolo-County,flow-to-Solano-County,flow-to-Tehama-County,flow-to-Sonoma-County,flow-to-Imperial-County,flow-to-Sutter-County,flow-to-Butte-County,flow-to-Tulare-County,flow-to-Colusa-County,flow-to-Del-Norte-County,flow-to-Humboldt-County,flow-to-Merced-County,flow-to-Ventura-County,flow-to-Amador-County,flow-to-Santa-Cruz-County
91,Sierra County,1,,,,,,,,,,-26,,,,-2,,,12,,18,,7,,,27,,,,,,,,-1,,,,,-13,,10,,,,,,,,-26,,,,,,,-5,,,,
43,Mariposa County,-123,-15,-14,7,,,-134,,,,28,-29,-7,,-32,7,-2,-65,32,31,24,45,,,,,-8,,-6,,,,-4,-7,-15,13,,-21,0,3,,,,55,16,-4,-36,,-69,5,,,,,-5,86,,,-2
105,Trinity County,-147,-10,-14,-47,,,8,2,,,-5,-6,,-10,,3,35,-37,6,-1,-5,-1,,,,-7,,,-9,5,,,30,,,,,,,20,,,-3,,,12,-11,-3,,,23,-4,,,-118,,,,
51,Mono County,-190,-5,31,,,,,,,,,-60,,,-1,6,,33,-95,-1,,,,,,,92,-14,,3,-105,,,,-75,,,,,-14,,,16,,,,,,,,,,,,,,-1,,
115,Yuba County,-236,28,-95,17,-90,,-62,-29,,,-12,-4,12,3,1,,-22,16,,-15,,-157,-18,,29,,,24,-405,2,,,-20,-25,8,17,105,-180,20,50,23,,-8,29,-93,-79,-41,-3,,184,156,33,118,216,41,4,19,5,-38
15,Del Norte County,-259,0,71,398,45,,-93,-12,,,,-7,-14,6,28,23,76,-39,-9,0,48,195,-43,,,,,,44,-3,-216,,-283,-4,13,,,-4,,36,4,21,,-24,37,-54,-35,-19,-25,-73,-70,-1,-163,,-58,-22,-1,-19,-13
57,Nevada County,-557,-1,-41,-68,32,21,-194,-21,,,-75,-136,46,,51,-118,24,-59,-47,-12,-70,259,244,,15,,,-18,-622,12,180,13,13,-174,191,-6,,,-74,18,-18,,-6,,23,-29,7,-5,,62,-46,7,,4,-88,,-50,99,100
5,Amador County,-836,89,-28,-11,84,,-121,-76,,12,23,-53,2,-27,-110,-71,-13,-45,50,1,-57,-155,-16,-4,,,,-5,49,15,-5,,-129,6,-4,23,,-99,-149,27,,,,-27,-7,-5,,18,-11,,-39,-19,-44,19,109,-12,-43,,22
53,Monterey County,-955,144,-197,-3,200,-24,-82,291,5,-208,-178,-11,-13,349,157,-27,167,-417,20,64,,269,-194,3,,365,,-48,160,,,,46,-56,-90,68,,70,124,-554,26,,-97,-9,-213,45,193,-56,156,-10,2,-242,-7,-48,-18,-222,-14,57,-898
111,Ventura County,-1012,182,-127,-229,85,,19,119,,-8,129,9,27,23,-183,127,19,-2293,8,-213,14,-24,76,,-33,-40,3,-623,161,6,-19,,177,116,543,67,1,50,59,202,,8,-32,0,498,-186,35,41,22,-30,268,-106,,1,31,-28,,43,-7
103,Tehama County,-1130,57,-33,-165,-15,36,79,-34,11,34,,-39,14,,11,-19,-27,10,0,-7,-193,181,-16,,-246,-5,,,-155,-178,41,,-21,41,71,37,,-7,,25,-8,-436,27,,-36,51,,-127,,-59,9,,-102,35,89,-2,-35,,-24
59,Orange County,-1143,702,-237,216,1068,15,343,-457,,-49,136,342,20,54,-73,553,10,-11350,-28,-55,90,243,-61,,20,-392,-114,-48,725,25,-8,,-45,-297,,157,75,-191,-97,7969,,-11,-31,-16,23,-93,-71,-14,-166,-3,157,125,-61,-13,91,-100,-543,4,318
109,Tuolumne County,-1234,68,-148,-36,-53,7,-37,-76,,,-48,-100,,2,-72,-152,28,-156,-121,-201,13,8,17,,,,-2,-12,2,1,-12,,141,-27,-20,68,,-46,6,-20,,-5,5,-159,56,-82,-14,-42,-21,4,59,-137,,14,35,79,-27,-2,-19
99,Stanislaus County,-1235,166,240,-280,54,-31,-535,-1249,1,100,109,-874,201,113,55,281,12,151,-136,,-64,298,224,,13,217,-6,106,72,-25,15,-18,-739,-412,55,102,1,12,61,-104,,,-5,-63,160,-134,7,-567,25,215,-1,130,17,0,95,404,213,-1,84
19,Fresno County,-1451,-65,-142,20,382,32,-317,-259,,20,44,-308,72,332,,182,-12,-741,-13,-55,-157,-30,132,,,11,36,20,57,-105,-1,2,-108,-41,73,-488,1,-51,-9,-79,-126,-9,-13,-64,82,67,-11,65,191,-8,103,-228,-58,-28,9,-179,183,110,28
33,Lake County,-1501,-71,-63,33,20,,129,12,3,,10,1,-5,,13,44,-12,-66,-176,5,97,237,44,,,-176,-510,14,12,-11,8,,-24,0,31,,-16,6,,-12,-86,-5,,,-1,-62,-27,-630,3,-30,19,,,,-416,145,32,,-20
41,Marin County,-1762,136,9,19,41,,81,-488,,,-1517,170,-17,120,-132,33,382,-723,-158,-224,194,-29,,,6,205,-6,11,-86,-25,18,,-59,-366,61,-593,,-244,127,-35,,,-44,9,87,467,16,546,,,61,-4,,43,95,180,-76,16,-69
23,Humboldt County,-1850,-12,-357,82,47,5,-65,6,118,,-29,-140,-35,-96,-9,-43,-20,-763,44,-95,18,-78,-95,,-7,,5,-34,-62,94,-41,5,32,-122,-91,10,,88,75,-46,-15,-66,416,7,-107,-41,-89,144,-6,-91,-190,-24,-12,58,,-19,-31,-109,-64
