State Code of Geography A,FIPS County Code of Geography A,State/U.S. Island Area/Foreign Region Code of Geography B,FIPS County Code of Geography B,county-a,county-b,flow-from-b-to-a,flow-from-a-to-b,net-flow-from-b-to-a,gross-migration
6,21,6,111,Glenn County,Ventura County,8,0,8,8
6,21,6,113,Glenn County,Yolo County,6,24,-18,30
6,23,6,1,Humboldt County,Alameda County,241,101,140,342
6,23,6,5,Humboldt County,Amador County,109,0,109,109
6,23,6,7,Humboldt County,Butte County,233,43,190,276
6,23,6,9,Humboldt County,Calaveras County,6,13,-7,19
6,23,6,11,Humboldt County,Colusa County,12,0,12,12
6,23,6,13,Humboldt County,Contra Costa County,218,153,65,371
6,23,6,15,Humboldt County,Del Norte County,139,197,-58,336
6,23,6,17,Humboldt County,El Dorado County,112,187,-75,299
6,23,6,19,Humboldt County,Fresno County,43,34,9,77
6,23,6,21,Humboldt County,Glenn County,66,0,66,66
6,23,6,25,Humboldt County,Imperial County,6,0,6,6
6,23,6,27,Humboldt County,Inyo County,10,15,-5,25
6,23,6,29,Humboldt County,Kern County,45,2,43,47
6,23,6,31,Humboldt County,Kings County,96,0,96,96
6,23,6,33,Humboldt County,Lake County,42,458,-416,500
6,23,6,35,Humboldt County,Lassen County,79,59,20,138
6,23,6,37,Humboldt County,Los Angeles County,"1,143",380,763,"1,523"
6,23,6,39,Humboldt County,Madera County,0,10,-10,10
6,23,6,41,Humboldt County,Marin County,169,74,95,243
6,23,6,43,Humboldt County,Mariposa County,0,5,-5,5
6,23,6,45,Humboldt County,Mendocino County,177,221,-44,398
6,23,6,47,Humboldt County,Merced County,24,5,19,29
6,23,6,49,Humboldt County,Modoc County,15,0,15,15
6,23,6,53,Humboldt County,Monterey County,0,18,-18,18
6,23,6,57,Humboldt County,Nevada County,19,107,-88,126
6,23,6,59,Humboldt County,Orange County,156,65,91,221
6,23,6,61,Humboldt County,Placer County,169,107,62,276
6,23,6,63,Humboldt County,Plumas County,7,0,7,7
6,23,6,65,Humboldt County,Riverside County,137,91,46,228
6,23,6,67,Humboldt County,Sacramento County,328,250,78,578
6,23,6,71,Humboldt County,San Bernardino County,118,106,12,224
6,23,6,73,Humboldt County,San Diego County,477,120,357,597
6,23,6,75,Humboldt County,San Francisco County,67,38,29,105
6,23,6,77,Humboldt County,San Joaquin County,76,108,-32,184
6,23,6,79,Humboldt County,San Luis Obispo County,6,53,-47,59
6,23,6,81,Humboldt County,San Mateo County,160,38,122,198
6,23,6,83,Humboldt County,Santa Barbara County,106,72,34,178
6,23,6,85,Humboldt County,Santa Clara County,124,130,-6,254
6,23,6,87,Humboldt County,Santa Cruz County,150,86,64,236
6,23,6,89,Humboldt County,Shasta County,276,358,-82,634
6,23,6,91,Humboldt County,Sierra County,0,5,-5,5
6,23,6,93,Humboldt County,Siskiyou County,0,94,-94,94
6,23,6,95,Humboldt County,Solano County,118,77,41,195
6,23,6,97,Humboldt County,Sonoma County,285,429,-144,714
6,23,6,99,Humboldt County,Stanislaus County,112,17,95,129
6,23,6,101,Humboldt County,Sutter County,95,4,91,99
6,23,6,103,Humboldt County,Tehama County,102,13,89,115
6,23,6,105,Humboldt County,Trinity County,47,165,-118,212
6,23,6,107,Humboldt County,Tulare County,24,0,24,24
6,23,6,109,Humboldt County,Tuolumne County,35,0,35,35
6,23,6,111,Humboldt County,Ventura County,31,0,31,31
6,23,6,113,Humboldt County,Yolo County,142,35,107,177
6,23,6,115,Humboldt County,Yuba County,41,0,41,41
6,25,6,1,Imperial County,Alameda County,11,69,-58,80
6,25,6,5,Imperial County,Amador County,0,11,-11,11
6,25,6,13,Imperial County,Contra Costa County,17,0,17,17
6,25,6,15,Imperial County,Del Norte County,0,25,-25,25
6,25,6,17,Imperial County,El Dorado County,3,2,1,5
6,25,6,19,Imperial County,Fresno County,260,69,191,329
6,25,6,23,Imperial County,Humboldt County,0,6,-6,6
6,25,6,27,Imperial County,Inyo County,31,8,23,39
6,25,6,29,Imperial County,Kern County,57,900,-843,957
6,25,6,31,Imperial County,Kings County,21,173,-152,194
6,25,6,33,Imperial County,Lake County,3,0,3,3
6,25,6,35,Imperial County,Lassen County,71,86,-15,157
6,25,6,37,Imperial County,Los Angeles County,464,428,36,892
6,25,6,43,Imperial County,Mariposa County,0,69,-69,69
6,25,6,47,Imperial County,Merced County,63,2,61,65
6,25,6,49,Imperial County,Modoc County,0,5,-5,5
6,25,6,53,Imperial County,Monterey County,207,51,156,258
6,25,6,59,Imperial County,Orange County,209,375,-166,584
6,25,6,61,Imperial County,Placer County,57,0,57,57
6,25,6,63,Imperial County,Plumas County,0,1,-1,1
6,25,6,65,Imperial County,Riverside County,642,"1,014",-372,"1,656"
6,25,6,67,Imperial County,Sacramento County,71,62,9,133
6,25,6,69,Imperial County,San Benito County,49,1,48,50
6,25,6,71,Imperial County,San Bernardino County,91,378,-287,469
6,25,6,73,Imperial County,San Diego County,970,"1,110",-140,"2,080"
6,25,6,77,Imperial County,San Joaquin County,122,18,104,140
6,25,6,79,Imperial County,San Luis Obispo County,0,69,-69,69
6,25,6,81,Imperial County,San Mateo County,0,8,-8,8
6,25,6,83,Imperial County,Santa Barbara County,3,81,-78,84
6,25,6,85,Imperial County,Santa Clara County,15,29,-14,44
6,25,6,87,Imperial County,Santa Cruz County,0,18,-18,18
6,25,6,89,Imperial County,Shasta County,0,43,-43,43
6,25,6,93,Imperial County,Siskiyou County,0,1,-1,1
6,25,6,95,Imperial County,Solano County,4,160,-156,164
6,25,6,97,Imperial County,Sonoma County,1,0,1,1
6,25,6,99,Imperial County,Stanislaus County,104,79,25,183
6,25,6,107,Imperial County,Tulare County,87,1,86,88
6,25,6,109,Imperial County,Tuolumne County,0,21,-21,21
6,25,6,111,Imperial County,Ventura County,23,1,22,24
6,25,6,113,Imperial County,Yolo County,0,49,-49,49
6,27,6,1,Inyo County,Alameda County,10,15,-5,25
6,27,6,17,Inyo County,El Dorado County,0,10,-10,10
6,27,6,19,Inyo County,Fresno County,36,0,36,36
6,27,6,23,Inyo County,Humboldt County,15,10,5,25
6,27,6,25,Inyo County,Imperial County,8,31,-23,39
6,27,6,29,Inyo County,Kern County,26,108,-82,134
6,27,6,33,Inyo County,Lake County,5,515,-510,520
6,27,6,37,Inyo County,Los Angeles County,175,43,132,218
6,27,6,41,Inyo County,Marin County,0,6,-6,6
6,27,6,43,Inyo County,Mariposa County,0,8,-8,8
6,27,6,51,Inyo County,Mono County,111,19,92,130
6,27,6,59,Inyo County,Orange County,18,132,-114,150
6,27,6,61,Inyo County,Placer County,2,0,2,2
6,27,6,65,Inyo County,Riverside County,0,58,-58,58
6,27,6,67,Inyo County,Sacramento County,41,0,41,41
6,27,6,71,Inyo County,San Bernardino County,82,24,58,106
6,27,6,73,Inyo County,San Diego County,86,32,54,118
6,27,6,77,Inyo County,San Joaquin County,5,15,-10,20
6,27,6,79,Inyo County,San Luis Obispo County,55,45,10,100
6,27,6,81,Inyo County,San Mateo County,7,23,-16,30
6,27,6,83,Inyo County,Santa Barbara County,48,0,48,48
6,27,6,85,Inyo County,Santa Clara County,20,0,20,20
6,27,6,89,Inyo County,Shasta County,0,14,-14,14
6,27,6,93,Inyo County,Siskiyou County,16,0,16,16
6,27,6,95,Inyo County,Solano County,1,0,1,1
6,27,6,99,Inyo County,Stanislaus County,0,6,-6,6
6,27,6,101,Inyo County,Sutter County,17,0,17,17
6,27,6,107,Inyo County,Tulare County,0,1,-1,1
6,27,6,109,Inyo County,Tuolumne County,5,7,-2,12
6,27,6,111,Inyo County,Ventura County,3,0,3,3
6,29,6,1,Kern County,Alameda County,172,182,-10,354
6,29,6,5,Kern County,Amador County,67,138,-71,205
6,29,6,7,Kern County,Butte County,72,89,-17,161
6,29,6,9,Kern County,Calaveras County,0,5,-5,5
6,29,6,13,Kern County,Contra Costa County,303,80,223,383
6,29,6,15,Kern County,Del Norte County,182,159,23,341
6,29,6,17,Kern County,El Dorado County,79,158,-79,237
6,29,6,19,Kern County,Fresno County,"2,009","1,827",182,"3,836"
6,29,6,21,Kern County,Glenn County,0,11,-11,11
6,29,6,23,Kern County,Humboldt County,2,45,-43,47
6,29,6,25,Kern County,Imperial County,900,57,843,957
6,29,6,27,Kern County,Inyo County,108,26,82,134
6,29,6,31,Kern County,Kings County,524,"2,024","-1,500","2,548"
6,29,6,33,Kern County,Lake County,52,8,44,60
6,29,6,35,Kern County,Lassen County,291,"1,242",-951,"1,533"
6,29,6,37,Kern County,Los Angeles County,"11,275","4,095","7,180","15,370"
6,29,6,39,Kern County,Madera County,126,360,-234,486
6,29,6,41,Kern County,Marin County,96,63,33,159
6,29,6,43,Kern County,Mariposa County,7,0,7,7
6,29,6,47,Kern County,Merced County,355,96,259,451
6,29,6,49,Kern County,Modoc County,0,27,-27,27
6,29,6,51,Kern County,Mono County,6,0,6,6
6,29,6,53,Kern County,Monterey County,420,447,-27,867
6,29,6,55,Kern County,Napa County,9,0,9,9
6,29,6,57,Kern County,Nevada County,18,136,-118,154
6,29,6,59,Kern County,Orange County,"1,204",651,553,"1,855"
6,29,6,61,Kern County,Placer County,114,94,20,208
6,29,6,63,Kern County,Plumas County,9,22,-13,31
6,29,6,65,Kern County,Riverside County,"1,875","1,524",351,"3,399"
6,29,6,67,Kern County,Sacramento County,773,679,94,"1,452"
6,29,6,69,Kern County,San Benito County,83,17,66,100
6,29,6,71,Kern County,San Bernardino County,"2,445","1,659",786,"4,104"
6,29,6,73,Kern County,San Diego County,"1,153","1,080",73,"2,233"
6,29,6,75,Kern County,San Francisco County,115,159,-44,274
6,29,6,77,Kern County,San Joaquin County,216,333,-117,549
6,29,6,79,Kern County,San Luis Obispo County,199,845,-646,"1,044"
6,29,6,81,Kern County,San Mateo County,149,11,138,160
6,29,6,83,Kern County,Santa Barbara County,466,571,-105,"1,037"
6,29,6,85,Kern County,Santa Clara County,322,153,169,475
6,29,6,87,Kern County,Santa Cruz County,189,30,159,219
6,29,6,89,Kern County,Shasta County,207,23,184,230
6,29,6,93,Kern County,Siskiyou County,6,39,-33,45
6,29,6,95,Kern County,Solano County,145,325,-180,470
6,29,6,97,Kern County,Sonoma County,58,172,-114,230
6,29,6,99,Kern County,Stanislaus County,339,58,281,397
6,29,6,101,Kern County,Sutter County,15,7,8,22
6,29,6,103,Kern County,Tehama County,7,26,-19,33
6,29,6,105,Kern County,Trinity County,12,9,3,21
6,29,6,107,Kern County,Tulare County,"1,112","1,182",-70,"2,294"
6,29,6,109,Kern County,Tuolumne County,51,203,-152,254
6,29,6,111,Kern County,Ventura County,"1,042",915,127,"1,957"
6,29,6,113,Kern County,Yolo County,91,240,-149,331
6,31,6,1,Kings County,Alameda County,174,37,137,211
6,31,6,5,Kings County,Amador County,54,81,-27,135
6,31,6,7,Kings County,Butte County,11,12,-1,23
6,31,6,11,Kings County,Colusa County,0,1,-1,1
6,31,6,13,Kings County,Contra Costa County,73,1,72,74
6,31,6,15,Kings County,Del Norte County,69,63,6,132
6,31,6,17,Kings County,El Dorado County,0,14,-14,14
6,31,6,19,Kings County,Fresno County,"1,475","1,143",332,"2,618"
6,31,6,21,Kings County,Glenn County,0,4,-4,4
6,31,6,23,Kings County,Humboldt County,0,96,-96,96
6,31,6,25,Kings County,Imperial County,173,21,152,194
6,31,6,29,Kings County,Kern County,"2,024",524,"1,500","2,548"
6,31,6,35,Kings County,Lassen County,140,275,-135,415
6,31,6,37,Kings County,Los Angeles County,707,"1,011",-304,"1,718"
6,31,6,39,Kings County,Madera County,71,224,-153,295
6,31,6,41,Kings County,Marin County,133,13,120,146
6,31,6,45,Kings County,Mendocino County,1,4,-3,5
6,31,6,47,Kings County,Merced County,38,8,30,46
6,31,6,49,Kings County,Modoc County,0,4,-4,4
6,31,6,53,Kings County,Monterey County,620,271,349,891
6,31,6,55,Kings County,Napa County,10,7,3,17
6,31,6,59,Kings County,Orange County,117,63,54,180
6,31,6,61,Kings County,Placer County,6,19,-13,25
6,31,6,63,Kings County,Plumas County,9,0,9,9
6,31,6,65,Kings County,Riverside County,410,387,23,797
6,31,6,67,Kings County,Sacramento County,104,269,-165,373
6,31,6,71,Kings County,San Bernardino County,312,541,-229,853
6,31,6,73,Kings County,San Diego County,952,210,742,"1,162"
6,31,6,75,Kings County,San Francisco County,15,40,-25,55
6,31,6,77,Kings County,San Joaquin County,230,71,159,301
6,31,6,79,Kings County,San Luis Obispo County,186,203,-17,389
6,31,6,81,Kings County,San Mateo County,81,0,81,81
6,31,6,83,Kings County,Santa Barbara County,77,81,-4,158
6,31,6,85,Kings County,Santa Clara County,28,76,-48,104
6,31,6,87,Kings County,Santa Cruz County,15,60,-45,75
6,31,6,89,Kings County,Shasta County,44,28,16,72
6,31,6,93,Kings County,Siskiyou County,0,41,-41,41
6,31,6,95,Kings County,Solano County,52,75,-23,127
6,31,6,97,Kings County,Sonoma County,173,0,173,173
6,31,6,99,Kings County,Stanislaus County,164,51,113,215
6,31,6,101,Kings County,Sutter County,5,0,5,5
6,31,6,105,Kings County,Trinity County,0,10,-10,10
6,31,6,107,Kings County,Tulare County,"1,155",631,524,"1,786"
6,31,6,109,Kings County,Tuolumne County,76,74,2,150
6,31,6,111,Kings County,Ventura County,82,59,23,141
6,31,6,113,Kings County,Yolo County,28,145,-117,173
6,31,6,115,Kings County,Yuba County,11,8,3,19
6,33,6,1,Lake County,Alameda County,181,182,-1,363
6,33,6,7,Lake County,Butte County,0,19,-19,19
6,33,6,13,Lake County,Contra Costa County,17,146,-129,163
6,33,6,19,Lake County,Fresno County,9,22,-13,31
6,33,6,21,Lake County,Glenn County,7,2,5,9
6,33,6,23,Lake County,Humboldt County,458,42,416,500
6,33,6,25,Lake County,Imperial County,0,3,-3,3
6,33,6,27,Lake County,Inyo County,515,5,510,520
6,33,6,29,Lake County,Kern County,8,52,-44,60
6,33,6,35,Lake County,Lassen County,25,13,12,38
6,33,6,37,Lake County,Los Angeles County,85,19,66,104
6,33,6,41,Lake County,Marin County,109,153,-44,262
6,33,6,45,Lake County,Mendocino County,509,333,176,842
6,33,6,47,Lake County,Merced County,0,145,-145,145
6,33,6,49,Lake County,Modoc County,86,0,86,86
6,33,6,51,Lake County,Mono County,16,0,16,16
6,33,6,53,Lake County,Monterey County,73,170,-97,243
6,33,6,55,Lake County,Napa County,246,70,176,316
6,33,6,57,Lake County,Nevada County,0,6,-6,6
6,33,6,59,Lake County,Orange County,15,46,-31,61
6,33,6,61,Lake County,Placer County,14,26,-12,40
6,33,6,65,Lake County,Riverside County,12,0,12,12
6,33,6,67,Lake County,Sacramento County,135,372,-237,507
6,33,6,71,Lake County,San Bernardino County,86,15,71,101
6,33,6,73,Lake County,San Diego County,125,62,63,187
6,33,6,75,Lake County,San Francisco County,25,35,-10,60
6,33,6,77,Lake County,San Joaquin County,71,47,24,118
6,33,6,79,Lake County,San Luis Obispo County,0,20,-20,20
6,33,6,81,Lake County,San Mateo County,81,81,0,162
6,33,6,83,Lake County,Santa Barbara County,14,28,-14,42
6,33,6,85,Lake County,Santa Clara County,61,73,-12,134
6,33,6,87,Lake County,Santa Cruz County,20,0,20,20
6,33,6,89,Lake County,Shasta County,46,79,-33,125
6,33,6,93,Lake County,Siskiyou County,13,2,11,15
6,33,6,95,Lake County,Solano County,165,103,62,268
6,33,6,97,Lake County,Sonoma County,"1,106",476,630,"1,582"
6,33,6,99,Lake County,Stanislaus County,3,8,-5,11
6,33,6,101,Lake County,Sutter County,30,0,30,30
6,33,6,103,Lake County,Tehama County,101,74,27,175
6,33,6,105,Lake County,Trinity County,0,3,-3,3
6,33,6,109,Lake County,Tuolumne County,5,0,5,5
6,33,6,111,Lake County,Ventura County,0,32,-32,32
6,33,6,113,Lake County,Yolo County,22,21,1,43
6,33,6,115,Lake County,Yuba County,0,8,-8,8
6,35,6,1,Lassen County,Alameda County,177,17,160,194
6,35,6,5,Lassen County,Amador County,22,35,-13,57
6,35,6,7,Lassen County,Butte County,12,103,-91,115
6,35,6,13,Lassen County,Contra Costa County,6,53,-47,59
6,35,6,15,Lassen County,Del Norte County,142,66,76,208
6,35,6,17,Lassen County,El Dorado County,31,9,22,40
6,35,6,19,Lassen County,Fresno County,133,145,-12,278
6,35,6,21,Lassen County,Glenn County,0,18,-18,18
6,35,6,23,Lassen County,Humboldt County,59,79,-20,138
6,35,6,25,Lassen County,Imperial County,86,71,15,157
6,35,6,29,Lassen County,Kern County,"1,242",291,951,"1,533"
6,35,6,31,Lassen County,Kings County,275,140,135,415
6,35,6,33,Lassen County,Lake County,13,25,-12,38
6,35,6,37,Lassen County,Los Angeles County,360,191,169,551
6,35,6,41,Lassen County,Marin County,382,0,382,382
6,35,6,43,Lassen County,Mariposa County,22,24,-2,46
6,35,6,45,Lassen County,Mendocino County,8,85,-77,93
6,35,6,47,Lassen County,Merced County,13,31,-18,44
6,35,6,49,Lassen County,Modoc County,5,35,-30,40
6,35,6,53,Lassen County,Monterey County,199,32,167,231
6,35,6,55,Lassen County,Napa County,44,0,44,44
6,35,6,57,Lassen County,Nevada County,45,21,24,66
6,35,6,59,Lassen County,Orange County,37,27,10,64
6,35,6,61,Lassen County,Placer County,28,0,28,28
6,35,6,63,Lassen County,Plumas County,30,74,-44,104
6,35,6,65,Lassen County,Riverside County,168,92,76,260
6,35,6,67,Lassen County,Sacramento County,238,407,-169,645
6,35,6,71,Lassen County,San Bernardino County,259,81,178,340
6,35,6,73,Lassen County,San Diego County,26,50,-24,76
6,35,6,75,Lassen County,San Francisco County,8,7,1,15
6,35,6,77,Lassen County,San Joaquin County,500,35,465,535
6,35,6,79,Lassen County,San Luis Obispo County,11,26,-15,37
6,35,6,81,Lassen County,San Mateo County,24,11,13,35
6,35,6,83,Lassen County,Santa Barbara County,5,0,5,5
6,35,6,85,Lassen County,Santa Clara County,53,32,21,85
6,35,6,87,Lassen County,Santa Cruz County,0,2,-2,2
6,35,6,89,Lassen County,Shasta County,43,352,-309,395
6,35,6,93,Lassen County,Siskiyou County,17,18,-1,35
6,35,6,95,Lassen County,Solano County,48,129,-81,177
6,35,6,97,Lassen County,Sonoma County,24,0,24,24
6,35,6,99,Lassen County,Stanislaus County,13,1,12,14
6,35,6,101,Lassen County,Sutter County,56,0,56,56
6,35,6,103,Lassen County,Tehama County,38,65,-27,103
6,35,6,105,Lassen County,Trinity County,39,4,35,43
6,35,6,109,Lassen County,Tuolumne County,58,30,28,88
6,35,6,111,Lassen County,Ventura County,29,10,19,39
6,35,6,113,Lassen County,Yolo County,28,7,21,35
6,35,6,115,Lassen County,Yuba County,0,22,-22,22
6,37,6,1,Los Angeles County,Alameda County,"4,155","5,488","-1,333","9,643"
6,37,6,5,Los Angeles County,Amador County,72,117,-45,189
6,37,6,7,Los Angeles County,Butte County,298,637,-339,935
6,37,6,9,Los Angeles County,Calaveras County,57,46,11,103
6,37,6,13,Los Angeles County,Contra Costa County,"1,867","1,902",-35,"3,769"
6,37,6,15,Los Angeles County,Del Norte County,25,64,-39,89
6,37,6,17,Los Angeles County,El Dorado County,141,496,-355,637
6,37,6,19,Los Angeles County,Fresno County,"1,901","2,642",-741,"4,543"
6,37,6,21,Los Angeles County,Glenn County,11,33,-22,44
6,37,6,23,Los Angeles County,Humboldt County,380,"1,143",-763,"1,523"
6,37,6,25,Los Angeles County,Imperial County,428,464,-36,892
6,37,6,27,Los Angeles County,Inyo County,43,175,-132,218
6,37,6,29,Los Angeles County,Kern County,"4,095","11,275","-7,180","15,370"
6,37,6,31,Los Angeles County,Kings County,"1,011",707,304,"1,718"
6,37,6,33,Los Angeles County,Lake County,19,85,-66,104
6,37,6,35,Los Angeles County,Lassen County,191,360,-169,551
6,37,6,39,Los Angeles County,Madera County,132,985,-853,"1,117"
6,37,6,41,Los Angeles County,Marin County,768,"1,491",-723,"2,259"
6,37,6,43,Los Angeles County,Mariposa County,15,80,-65,95
6,37,6,45,Los Angeles County,Mendocino County,30,98,-68,128
6,37,6,47,Los Angeles County,Merced County,378,"1,266",-888,"1,644"
6,37,6,49,Los Angeles County,Modoc County,0,24,-24,24
6,37,6,51,Los Angeles County,Mono County,93,60,33,153
6,37,6,53,Los Angeles County,Monterey County,865,"1,282",-417,"2,147"
6,37,6,55,Los Angeles County,Napa County,153,276,-123,429
6,37,6,57,Los Angeles County,Nevada County,160,219,-59,379
6,37,6,59,Los Angeles County,Orange County,"27,627","38,977","-11,350","66,604"
6,37,6,61,Los Angeles County,Placer County,579,550,29,"1,129"
6,37,6,63,Los Angeles County,Plumas County,20,30,-10,50
6,37,6,65,Los Angeles County,Riverside County,"10,563","22,052","-11,489","32,615"
6,37,6,67,Los Angeles County,Sacramento County,"1,898","3,808","-1,910","5,706"
6,37,6,69,Los Angeles County,San Benito County,25,66,-41,91
6,37,6,71,Los Angeles County,San Bernardino County,"18,478","37,618","-19,140","56,096"
6,37,6,73,Los Angeles County,San Diego County,"9,285","9,815",-530,"19,100"
6,37,6,75,Los Angeles County,San Francisco County,"3,861","3,981",-120,"7,842"
6,37,6,77,Los Angeles County,San Joaquin County,393,912,-519,"1,305"
6,37,6,79,Los Angeles County,San Luis Obispo County,"1,149","1,858",-709,"3,007"
6,37,6,81,Los Angeles County,San Mateo County,"1,332","1,667",-335,"2,999"
6,37,6,83,Los Angeles County,Santa Barbara County,"2,086","4,582","-2,496","6,668"
6,37,6,85,Los Angeles County,Santa Clara County,"3,496","4,959","-1,463","8,455"
6,37,6,87,Los Angeles County,Santa Cruz County,680,"1,585",-905,"2,265"
6,37,6,89,Los Angeles County,Shasta County,161,207,-46,368
6,37,6,91,Los Angeles County,Sierra County,12,0,12,12
6,37,6,93,Los Angeles County,Siskiyou County,16,64,-48,80
6,37,6,95,Los Angeles County,Solano County,767,916,-149,"1,683"
6,37,6,97,Los Angeles County,Sonoma County,664,"1,035",-371,"1,699"
6,37,6,99,Los Angeles County,Stanislaus County,522,371,151,893
6,37,6,101,Los Angeles County,Sutter County,49,35,14,84
6,37,6,103,Los Angeles County,Tehama County,39,29,10,68
6,37,6,105,Los Angeles County,Trinity County,0,37,-37,37
6,37,6,107,Los Angeles County,Tulare County,909,"1,454",-545,"2,363"
6,37,6,109,Los Angeles County,Tuolumne County,262,418,-156,680
6,37,6,111,Los Angeles County,Ventura County,"7,930","10,223","-2,293","18,153"
6,37,6,113,Los Angeles County,Yolo County,624,"2,273","-1,649","2,897"
6,37,6,115,Los Angeles County,Yuba County,70,54,16,124
6,39,6,1,Madera County,Alameda County,265,29,236,294
6,39,6,5,Madera County,Amador County,47,24,23,71
6,39,6,7,Madera County,Butte County,0,9,-9,9
6,39,6,11,Madera County,Colusa County,0,9,-9,9
6,39,6,13,Madera County,Contra Costa County,102,4,98,106
6,39,6,19,Madera County,Fresno County,"2,001","2,489",-488,"4,490"
6,39,6,23,Madera County,Humboldt County,10,0,10,10
6,39,6,29,Madera County,Kern County,360,126,234,486
6,39,6,31,Madera County,Kings County,224,71,153,295
6,39,6,37,Madera County,Los Angeles County,985,132,853,"1,117"
6,39,6,41,Madera County,Marin County,11,604,-593,615
6,39,6,43,Madera County,Mariposa County,31,18,13,49
6,39,6,45,Madera County,Mendocino County,0,8,-8,8
6,39,6,47,Madera County,Merced County,461,664,-203,"1,125"
6,39,6,53,Madera County,Monterey County,257,189,68,446
6,39,6,55,Madera County,Napa County,0,54,-54,54
6,39,6,57,Madera County,Nevada County,0,6,-6,6
6,39,6,59,Madera County,Orange County,171,14,157,185
6,39,6,61,Madera County,Placer County,52,39,13,91
6,39,6,65,Madera County,Riverside County,190,115,75,305
6,39,6,67,Madera County,Sacramento County,110,220,-110,330
6,39,6,71,Madera County,San Bernardino County,175,"2,290","-2,115","2,465"
6,39,6,73,Madera County,San Diego County,202,79,123,281
6,39,6,75,Madera County,San Francisco County,44,35,9,79
6,39,6,77,Madera County,San Joaquin County,185,59,126,244
6,39,6,79,Madera County,San Luis Obispo County,29,65,-36,94
6,39,6,81,Madera County,San Mateo County,11,7,4,18
6,39,6,83,Madera County,Santa Barbara County,9,31,-22,40
6,39,6,85,Madera County,Santa Clara County,302,187,115,489
6,39,6,87,Madera County,Santa Cruz County,112,16,96,128
6,39,6,89,Madera County,Shasta County,21,40,-19,61
6,39,6,93,Madera County,Siskiyou County,11,0,11,11
6,39,6,95,Madera County,Solano County,43,97,-54,140
6,39,6,97,Madera County,Sonoma County,7,7,0,14
6,39,6,99,Madera County,Stanislaus County,167,65,102,232
6,39,6,101,Madera County,Sutter County,9,0,9,9
6,39,6,103,Madera County,Tehama County,37,0,37,37
6,39,6,107,Madera County,Tulare County,218,95,123,313
6,39,6,109,Madera County,Tuolumne County,68,0,68,68
6,39,6,111,Madera County,Ventura County,123,56,67,179
6,39,6,113,Madera County,Yolo County,0,22,-22,22
6,39,6,115,Madera County,Yuba County,17,0,17,17
6,41,6,1,Marin County,Alameda County,890,"1,060",-170,"1,950"
6,41,6,5,Marin County,Amador County,0,16,-16,16
6,41,6,7,Marin County,Butte County,7,68,-61,75
6,41,6,9,Marin County,Calaveras County,9,18,-9,27
6,41,6,13,Marin County,Contra Costa County,667,748,-81,"1,415"
6,41,6,15,Marin County,Del Norte County,11,54,-43,65
6,41,6,17,Marin County,El Dorado County,110,237,-127,347
6,41,6,19,Marin County,Fresno County,228,96,132,324
6,41,6,23,Marin County,Humboldt County,74,169,-95,243
6,41,6,27,Marin County,Inyo County,6,0,6,6
6,41,6,29,Marin County,Kern County,63,96,-33,159
6,41,6,31,Marin County,Kings County,13,133,-120,146
6,41,6,33,Marin County,Lake County,153,109,44,262
6,41,6,35,Marin County,Lassen County,0,382,-382,382
6,41,6,37,Marin County,Los Angeles County,"1,491",768,723,"2,259"
6,41,6,39,Marin County,Madera County,604,11,593,615
6,41,6,45,Marin County,Mendocino County,179,21,158,200
6,41,6,47,Marin County,Merced County,277,457,-180,734
6,41,6,53,Marin County,Monterey County,144,338,-194,482
6,41,6,55,Marin County,Napa County,124,329,-205,453
6,41,6,57,Marin County,Nevada County,333,89,244,422
6,41,6,59,Marin County,Orange County,82,143,-61,225
6,41,6,61,Marin County,Placer County,125,39,86,164
6,41,6,63,Marin County,Plumas County,0,6,-6,6
6,41,6,65,Marin County,Riverside County,186,151,35,337
6,41,6,67,Marin County,Sacramento County,321,292,29,613
6,41,6,71,Marin County,San Bernardino County,29,165,-136,194
6,41,6,73,Marin County,San Diego County,208,217,-9,425
6,41,6,75,Marin County,San Francisco County,"2,797","1,280","1,517","4,077"
6,41,6,77,Marin County,San Joaquin County,92,33,59,125
6,41,6,79,Marin County,San Luis Obispo County,108,149,-41,257
6,41,6,81,Marin County,San Mateo County,667,301,366,968
6,41,6,83,Marin County,Santa Barbara County,118,129,-11,247
6,41,6,85,Marin County,Santa Clara County,995,507,488,"1,502"
6,41,6,87,Marin County,Santa Cruz County,217,148,69,365
6,41,6,89,Marin County,Shasta County,7,26,-19,33
6,41,6,93,Marin County,Siskiyou County,41,16,25,57
6,41,6,95,Marin County,Solano County,272,739,-467,"1,011"
6,41,6,97,Marin County,Sonoma County,"2,046","2,592",-546,"4,638"
6,41,6,99,Marin County,Stanislaus County,249,25,224,274
6,41,6,103,Marin County,Tehama County,0,16,-16,16
6,41,6,107,Marin County,Tulare County,4,0,4,4
6,41,6,109,Marin County,Tuolumne County,53,36,17,89
6,41,6,111,Marin County,Ventura County,99,23,76,122
6,41,6,113,Marin County,Yolo County,64,151,-87,215
6,41,6,115,Marin County,Yuba County,5,23,-18,28
6,43,6,1,Mariposa County,Alameda County,29,0,29,29
6,43,6,9,Mariposa County,Calaveras County,11,66,-55,77
6,43,6,13,Mariposa County,Contra Costa County,134,0,134,134
6,43,6,17,Mariposa County,El Dorado County,3,3,0,6
6,43,6,19,Mariposa County,Fresno County,113,81,32,194
6,43,6,23,Mariposa County,Humboldt County,5,0,5,5
