candidate,twitter_handle,announcement_date,announcement_tweet_id,hashtags
Cory Booker,CoryBooker,2/1/19,status/1091308916879884288,"Cory2020,Booker2020"
Kirsten Gillibrand,SenGillibrand,1/15/19,status/1085318564968521728,"Kirsten2020,Gillibrand2020"
Kamala Harris,KamalaHarris,1/21/19,status/1087342097009643520,"Kamala2020,Harris2020"
Amy Klobuchar,amyklobuchar,2/10/19,status/1094694571831894016,"AmyForAmerica,Amy2020,Klobuchar2020"
Bernie Sanders,BernieSanders,2/19/19,status/1097828878310096901,"Bernie2020,Sanders2020,NotMeUs"
Elizabeth Warren,ewarren,2/9/19,status/1094221040656494592,"Warren2020,Elizabeth2020,WinWithWarren,ElizabethWarren2020"
Andrew Yang,AndrewYang,2/8/18,status/961700253522112513,"Yang2020,YangGang,HumanityFirst"
Beto O'Rourke,BetoORourke,3/14/19,status/1106155281845760000,Beto2020
