,Competition Name,URL,State,Date,Type,City,Facility,Street Address,ZIP,Lat,Lon
305,Oneida/Mohawk Valley Chapter Competition ,https://www.mathcounts.org/oneidamohawk-valley-chapter-competition,NY,02/01/2020,Chapter,Utica,Mohawk Valley Community College,,13501,43.07700699999999,-75.218217
306,Orange/Sullivan Chapter Competition ,https://www.mathcounts.org/orangesullivan-chapter-competition,NY,02/21/2020,Chapter,Montgomery,Montgomery Recreation Center,,,,
307,Queens Chapter Competition ,https://www.mathcounts.org/queens-chapter-competition,NY,02/01/2020,Chapter,Little Neck,MS 67 Louis Pasteur Middle School,51-60 Marathon Parkway,,40.7624372,-73.73442589999999
308,Rockland Chapter Competition ,https://www.mathcounts.org/rockland-chapter-competition,NY,02/13/2020,Chapter,West Nyack,Felix Festa Middle School,30 Parrott Rd.,10994,41.1224505,-73.9826235
309,St. Lawrence/Franklin Chapter Competition ,https://www.mathcounts.org/st-lawrencefranklin-chapter-competition,NY,02/21/2020,Chapter,Potsdam,Clarkson University,8 Clarkson Avenue,13699,44.6636819,-74.9977112
310,Staten Island Chapter Competition ,https://www.mathcounts.org/staten-island-chapter-competition,NY,02/12/2020,Chapter,Staten Island,Borough President's Hall of Science,"715 Ocean Terrace, Bldg. A",10301,40.6086339,-74.10509290000002
311,Tri-County Chapter Competition ,https://www.mathcounts.org/tri-county-chapter-competition,NY,02/01/2020,Chapter,Queensbury,SUNY Adirondack,Bay Road,,43.3517471,-73.655379
312,Westchester/Putnam Chapter Competition ,https://www.mathcounts.org/westchesterputnam-chapter-competition,NY,02/01/2020,Chapter,Pleasantville,Pace University,,,40.7110772,-74.004811
313,Central Chapter Competition ,https://www.mathcounts.org/central-chapter-competition-0,NY,,Chapter,TBD,Baylor University,Rogers Engineering and Computer Science Bldg.,,,
314,Akron Chapter Competition ,https://www.mathcounts.org/akron-chapter-competition,OH,02/01/2020,Chapter,Akron,University of Akron - Student Union Ballroom,303 Carroll Street,44325,41.0756231,-81.5124345
315,Canton Ohio Chapter Competition ,https://www.mathcounts.org/canton-ohio-chapter-competition,OH,02/08/2020,Chapter,Canton,Exploration Gateway at Sippo Lake Park,5710 12th St NW,44708,40.807589,-81.457679
316,Cincinnati Chapter Competition ,https://www.mathcounts.org/cincinnati-chapter-competition-0,OH,02/29/2020,Chapter,Cincinnati,"University of Cincinnati, Zimmer Auditorium",Clifton Ave,45238,39.1334513,-84.5168638
317,Dayton Chapter Competition ,https://www.mathcounts.org/dayton-chapter-competition,OH,02/22/2020,Chapter,Dayton,"University of Dayton, Miriam Hall",,,39.7405484,-84.17620699999999
318,Eastern Chapter Competition ,https://www.mathcounts.org/eastern-chapter-competition-3,OH,02/14/2020,Chapter,St. Clairsville,Belmont College,,TBD,,
