"GEO_ID","NAME","B25064_001E","B25064_001M"
"id","Geographic Area Name","Estimate!!Median gross rent","Margin of Error!!Median gross rent"
"1400000US06075010100","Census Tract 101, San Francisco County, California","1318","130"
"1400000US06075010200","Census Tract 102, San Francisco County, California","1554","220"
"1400000US06075010300","Census Tract 103, San Francisco County, California","1995","356"
"1400000US06075010400","Census Tract 104, San Francisco County, California","1780","191"
"1400000US06075010500","Census Tract 105, San Francisco County, California","2,000+","***"
"1400000US06075010600","Census Tract 106, San Francisco County, California","1017","136"
"1400000US06075010700","Census Tract 107, San Francisco County, California","532","46"
"1400000US06075010800","Census Tract 108, San Francisco County, California","1392","153"
"1400000US06075010900","Census Tract 109, San Francisco County, California","1357","169"
"1400000US06075011000","Census Tract 110, San Francisco County, California","979","74"
"1400000US06075011100","Census Tract 111, San Francisco County, California","1047","84"
"1400000US06075011200","Census Tract 112, San Francisco County, California","1505","187"
"1400000US06075011300","Census Tract 113, San Francisco County, California","527","34"
"1400000US06075011700","Census Tract 117, San Francisco County, California","790","92"
"1400000US06075011800","Census Tract 118, San Francisco County, California","626","77"
"1400000US06075011901","Census Tract 119.01, San Francisco County, California","1062","266"
"1400000US06075011902","Census Tract 119.02, San Francisco County, California","1181","134"
"1400000US06075012000","Census Tract 120, San Francisco County, California","1010","83"
"1400000US06075012100","Census Tract 121, San Francisco County, California","1087","53"
"1400000US06075012201","Census Tract 122.01, San Francisco County, California","980","72"
"1400000US06075012202","Census Tract 122.02, San Francisco County, California","831","88"
"1400000US06075012301","Census Tract 123.01, San Francisco County, California","587","133"
"1400000US06075012302","Census Tract 123.02, San Francisco County, California","974","150"
"1400000US06075012401","Census Tract 124.01, San Francisco County, California","735","79"
"1400000US06075012402","Census Tract 124.02, San Francisco County, California","848","82"
"1400000US06075012501","Census Tract 125.01, San Francisco County, California","558","90"
"1400000US06075012502","Census Tract 125.02, San Francisco County, California","457","70"
"1400000US06075012601","Census Tract 126.01, San Francisco County, California","1789","170"
"1400000US06075012602","Census Tract 126.02, San Francisco County, California","1825","186"
"1400000US06075012700","Census Tract 127, San Francisco County, California","1724","124"
"1400000US06075012800","Census Tract 128, San Francisco County, California","1664","167"
"1400000US06075012901","Census Tract 129.01, San Francisco County, California","1715","88"
"1400000US06075012902","Census Tract 129.02, San Francisco County, California","1576","142"
"1400000US06075013000","Census Tract 130, San Francisco County, California","1802","168"
"1400000US06075013101","Census Tract 131.01, San Francisco County, California","1711","167"
"1400000US06075013102","Census Tract 131.02, San Francisco County, California","1978","146"
"1400000US06075013200","Census Tract 132, San Francisco County, California","1984","228"
"1400000US06075013300","Census Tract 133, San Francisco County, California","1788","397"
"1400000US06075013400","Census Tract 134, San Francisco County, California","1637","118"
"1400000US06075013500","Census Tract 135, San Francisco County, California","1478","163"
"1400000US06075015100","Census Tract 151, San Francisco County, California","1432","177"
"1400000US06075015200","Census Tract 152, San Francisco County, California","1349","165"
"1400000US06075015300","Census Tract 153, San Francisco County, California","1422","160"
"1400000US06075015400","Census Tract 154, San Francisco County, California","1516","127"
"1400000US06075015500","Census Tract 155, San Francisco County, California","1349","246"
"1400000US06075015802","Census Tract 158.02, San Francisco County, California","1537","136"
"1400000US06075015600","Census Tract 156, San Francisco County, California","1374","261"
"1400000US06075015700","Census Tract 157, San Francisco County, California","1531","213"
"1400000US06075015801","Census Tract 158.01, San Francisco County, California","1136","172"
"1400000US06075015900","Census Tract 159, San Francisco County, California","1389","154"
"1400000US06075016000","Census Tract 160, San Francisco County, California","1221","70"
"1400000US06075016100","Census Tract 161, San Francisco County, California","538","165"
"1400000US06075016200","Census Tract 162, San Francisco County, California","1158","65"
"1400000US06075016300","Census Tract 163, San Francisco County, California","1172","123"
"1400000US06075016400","Census Tract 164, San Francisco County, California","1509","136"
"1400000US06075016500","Census Tract 165, San Francisco County, California","1427","143"
"1400000US06075016600","Census Tract 166, San Francisco County, California","1609","112"
"1400000US06075016700","Census Tract 167, San Francisco County, California","1516","158"
"1400000US06075016801","Census Tract 168.01, San Francisco County, California","1409","128"
"1400000US06075016802","Census Tract 168.02, San Francisco County, California","1251","144"
"1400000US06075016900","Census Tract 169, San Francisco County, California","1514","145"
"1400000US06075017000","Census Tract 170, San Francisco County, California","1609","163"
"1400000US06075017101","Census Tract 171.01, San Francisco County, California","1575","160"
"1400000US06075017102","Census Tract 171.02, San Francisco County, California","1722","224"
"1400000US06075017601","Census Tract 176.01, San Francisco County, California","762","107"
"1400000US06075017700","Census Tract 177, San Francisco County, California","1264","148"
"1400000US06075017801","Census Tract 178.01, San Francisco County, California","300","48"
"1400000US06075017802","Census Tract 178.02, San Francisco County, California","1387","205"
"1400000US06075017902","Census Tract 179.02, San Francisco County, California","1974","238"
"1400000US06075018000","Census Tract 180, San Francisco County, California","2,000+","***"
"1400000US06075020100","Census Tract 201, San Francisco County, California","875","106"
"1400000US06075020200","Census Tract 202, San Francisco County, California","1148","168"
"1400000US06075020300","Census Tract 203, San Francisco County, California","1637","90"
"1400000US06075020401","Census Tract 204.01, San Francisco County, California","1769","157"
"1400000US06075020402","Census Tract 204.02, San Francisco County, California","1533","134"
"1400000US06075020500","Census Tract 205, San Francisco County, California","1391","119"
"1400000US06075020600","Census Tract 206, San Francisco County, California","1617","148"
"1400000US06075020700","Census Tract 207, San Francisco County, California","1492","220"
"1400000US06075020800","Census Tract 208, San Francisco County, California","1012","100"
"1400000US06075020900","Census Tract 209, San Francisco County, California","963","149"
"1400000US06075021000","Census Tract 210, San Francisco County, California","1419","217"
"1400000US06075021100","Census Tract 211, San Francisco County, California","1631","196"
"1400000US06075021200","Census Tract 212, San Francisco County, California","1619","263"
"1400000US06075021300","Census Tract 213, San Francisco County, California","1674","336"
"1400000US06075021400","Census Tract 214, San Francisco County, California","1692","154"
"1400000US06075021500","Census Tract 215, San Francisco County, California","1625","153"
"1400000US06075021600","Census Tract 216, San Francisco County, California","1498","241"
"1400000US06075021700","Census Tract 217, San Francisco County, California","1261","401"
"1400000US06075021800","Census Tract 218, San Francisco County, California","1783","313"
"1400000US06075022600","Census Tract 226, San Francisco County, California","2,000+","***"
"1400000US06075022702","Census Tract 227.02, San Francisco County, California","1843","151"
"1400000US06075022704","Census Tract 227.04, San Francisco County, California","2,000+","***"
"1400000US06075022801","Census Tract 228.01, San Francisco County, California","1350","164"
"1400000US06075022802","Census Tract 228.02, San Francisco County, California","1233","677"
"1400000US06075022803","Census Tract 228.03, San Francisco County, California","1403","198"
"1400000US06075022901","Census Tract 229.01, San Francisco County, California","1257","285"
"1400000US06075022902","Census Tract 229.02, San Francisco County, California","1407","225"
"1400000US06075022903","Census Tract 229.03, San Francisco County, California","1382","310"
"1400000US06075023001","Census Tract 230.01, San Francisco County, California","1220","518"
"1400000US06075023003","Census Tract 230.03, San Francisco County, California","930","465"
"1400000US06075023102","Census Tract 231.02, San Francisco County, California","707","462"
"1400000US06075023103","Census Tract 231.03, San Francisco County, California","413","67"
"1400000US06075023200","Census Tract 232, San Francisco County, California","1167","196"
"1400000US06075023300","Census Tract 233, San Francisco County, California","1738","455"
"1400000US06075023400","Census Tract 234, San Francisco County, California","706","485"
"1400000US06075025100","Census Tract 251, San Francisco County, California","1868","221"
"1400000US06075025200","Census Tract 252, San Francisco County, California","1352","439"
"1400000US06075025300","Census Tract 253, San Francisco County, California","1308","331"
"1400000US06075025401","Census Tract 254.01, San Francisco County, California","1534","255"
"1400000US06075025402","Census Tract 254.02, San Francisco County, California","1265","225"
"1400000US06075025403","Census Tract 254.03, San Francisco County, California","989","209"
"1400000US06075025500","Census Tract 255, San Francisco County, California","1289","209"
"1400000US06075025600","Census Tract 256, San Francisco County, California","2,000+","***"
"1400000US06075025701","Census Tract 257.01, San Francisco County, California","1605","333"
"1400000US06075025702","Census Tract 257.02, San Francisco County, California","1497","307"
"1400000US06075025800","Census Tract 258, San Francisco County, California","1078","115"
"1400000US06075025900","Census Tract 259, San Francisco County, California","1799","574"
"1400000US06075026001","Census Tract 260.01, San Francisco County, California","1182","314"
"1400000US06075026002","Census Tract 260.02, San Francisco County, California","1649","172"
"1400000US06075026003","Census Tract 260.03, San Francisco County, California","1576","237"
"1400000US06075026004","Census Tract 260.04, San Francisco County, California","1108","247"
"1400000US06075026100","Census Tract 261, San Francisco County, California","1392","127"
"1400000US06075026200","Census Tract 262, San Francisco County, California","1331","374"
"1400000US06075026301","Census Tract 263.01, San Francisco County, California","1386","70"
"1400000US06075026302","Census Tract 263.02, San Francisco County, California","1418","145"
"1400000US06075026303","Census Tract 263.03, San Francisco County, California","1238","199"
"1400000US06075026401","Census Tract 264.01, San Francisco County, California","1046","363"
"1400000US06075026402","Census Tract 264.02, San Francisco County, California","1339","302"
"1400000US06075026403","Census Tract 264.03, San Francisco County, California","1188","402"
"1400000US06075026404","Census Tract 264.04, San Francisco County, California","721","85"
"1400000US06075030101","Census Tract 301.01, San Francisco County, California","1671","105"
"1400000US06075030102","Census Tract 301.02, San Francisco County, California","1668","145"
"1400000US06075030201","Census Tract 302.01, San Francisco County, California","1391","113"
"1400000US06075030202","Census Tract 302.02, San Francisco County, California","1464","106"
"1400000US06075030301","Census Tract 303.01, San Francisco County, California","1652","254"
"1400000US06075030302","Census Tract 303.02, San Francisco County, California","2,000+","***"
"1400000US06075030700","Census Tract 307, San Francisco County, California","2,000+","***"
"1400000US06075030400","Census Tract 304, San Francisco County, California","1434","463"
"1400000US06075030500","Census Tract 305, San Francisco County, California","304","722"
"1400000US06075030600","Census Tract 306, San Francisco County, California","2,000+","***"
"1400000US06075030800","Census Tract 308, San Francisco County, California","1686","229"
"1400000US06075030900","Census Tract 309, San Francisco County, California","2,000+","***"
"1400000US06075031000","Census Tract 310, San Francisco County, California","1917","1003"
"1400000US06075031100","Census Tract 311, San Francisco County, California","1700","191"
"1400000US06075031201","Census Tract 312.01, San Francisco County, California","759","197"
