OBJECTID,FID_,STOP_ID,LOCATION,BUS_ZONE_T,LENGTH,POSITION,NUB_PARKIN,PARKINGTYP,LATITUDE,LONGITUDE,ARTERIAL,ZONE_HOURS,STATUS,CURRENTSTO,PILOTSTOPE,CREATIONDA,LABEL_PLAC,DECAL_WORK,SIGN_WORK,PAINT_WORK,WORK_ORDER,point,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods
59,,4346,"Davis St&California St NW corner, near-side stop",MuniZone,75,Nearside,0,Bus,37.79363,-122.3977,N,,Rescinded,0,0,Pilot,Shelter,Shelter,,,03/10/2016 12:00:00 AM +0000,"(37.79362505266688, -122.39768678588095)",108,6,3,8
56,,3323,"18th St&Church St SE corner, far-side stop",MuniZone,75,Farside,0,,37.76127,-122.42795,N,,Rescinded,0,17,Pilot,Shelter,Remove,,,03/18/2016 12:00:00 AM +0000,"(37.76126505754094, -122.42793678511094)",37,3,5,5
3,,6879,"Valencia St&25th St SW corner, far-side stop",MuniZone,81,Farside,0,Bus,37.75028,-122.42059,Y,,Approved,30,46,Pilot,ExistingPole,Landor,,,03/10/2016 12:00:00 AM +0000,"(37.75027006390864, -122.42056358248486)",53,3,5,20
4,,20010,"Howard St&Fremont St NE corner, near-side stop",MuniZone,67,Nearside,0,Bus,37.78933,-122.39506,Y,,Rescinded,64,11,Pilot,New,,,,03/10/2016 12:00:00 AM +0000,"(37.78932005382759, -122.39503358177737)",32,1,10,8
17,,20041,"Mississippi St&17th St NE corner, white zone, 6-10am, 4-8pm",WhiteZone,90,Farside,4,Unreg,37.76554,-122.39479,Y,AM PM,Approved,18,0,6/20/16,,,,,,"(37.76553005676863, -122.39476358757541)",54,1,9,4
51,,3338,"18th St&Mission St NW corner, far-side stop",MuniZone,75,Farside,0,,37.76186,-122.41977,N,,Rescinded,0,3,Pilot,ExistingPole,Remove,,,03/18/2016 12:00:00 AM +0000,"(37.76185505689542, -122.41975678626477)",53,3,2,20
1,,3401,"19th Ave&Wawona St SE corner, near-side stop",MuniZone,75,Nearside,0,Bus,37.73734,-122.47515,Y,,Approved,41,16,Pilot,NewLandor,Landor,,,03/10/2016 12:00:00 AM +0000,"(37.73733007395177, -122.47512357083679)",46,10,8,41
19,,3478,"24th St&Noe St NE corner, near-side stop",MuniZone,70,Nearside,0,Bus,37.75148,-122.43172,Y,,Approved,1,13,Pilot,NewLandor,Landor,,,03/10/2016 12:00:00 AM +0000,"(37.75147006462155, -122.43169357968338)",84,3,5,22
129,,20003,"16th St&Shotwell St NW corner, white zone, 6-10 am, 4-10pm",WhiteZone,88,Farside,3,Meter,37.765354,-122.416703,Y,AM PM,Rescinded,85,48,Pilot,New,,,,03/10/2016 12:00:00 AM +0000,"(37.76526833239241, -122.41671671932377)",53,3,2,20
24,,6040,"Potrero Ave&25th St, SE corner, near-side stop",MuniZone,110,Nearside,0,Bus,37.75164,-122.40608,Y,,Approved,5,1,Pilot,Landor (vandalized),Landor,,,03/10/2016 12:00:00 AM +0000,"(37.751630061738425, -122.40605358749606)",54,3,9,20
157,,4971,"Harrison St&7th St NW corner, far-side stop",MuniZone,80,Farside,0,Bus,37.77567,-122.40626,Y,,Approved,4,0,Pilot,NewLandor,Landor,,,03/10/2016 12:00:00 AM +0000,"(37.77566005777105, -122.40623358168675)",32,1,10,34
72,,20049,"24th St & Church St SE corner, far-side, 6-10am",WhiteZone,113,Farside,5,Meter,37.75166,-122.42714,Y,AM,Approved,,,9/25/17,,,,,,"(37.75165160528342, -122.42726288032421)",52,3,5,22
71,,3209,"8th St & Market St SW corner, far-side stop",MuniZone,166,Farside,0,Bus,37.778507,-122.414582,Y,,Approved,37,103,Pilot,Shelter,Shelter,,,03/10/2016 12:00:00 AM +0000,"(37.77830872015082, -122.41442063415587)",32,5,10,34
114,,3541,"30th St & Mission St, SW Corner near-side stop, UNDER 35 FT ONLY",MuniZone,105,Nearside,0,Bus,37.742347,-122.422184,N,,Approved,,,,,,,,,"(37.74230203568314, -122.42218006616476)",83,9,2,2
41,,5012,"Hayes St&Steiner St SE corner, far-side stop",MuniZone,75,Farside,0,,37.77563,-122.43248,N,,Rescinded,0,50,Pilot,Shelter,Remove,,,03/18/2016 12:00:00 AM +0000,"(37.775625056689705, -122.43246678377062)",23,4,11,9
2,,4415,"Divisadero St&Eddy St SW corner, far-side stop",MuniZone,100,Farside,0,Bus,37.78023,-122.43896,Y,,Approved,32,16,Pilot,NewLandor,Landor,,,03/10/2016 12:00:00 AM +0000,"(37.78022006178409, -122.43893357127202)",13,4,11,39
6,,20005,"San Jose Ave&29th St SE corner, white zone, 4-8pm",WhiteZone,100,Mid-block,5,RPP,37.74325,-122.42287,Y,PM,Approved,92,35,Pilot,New,,,,03/10/2016 12:00:00 AM +0000,"(37.743240064654195, -122.42284358495719)",83,9,2,2
57,,4998,"Hayes St&Laguna St NE corner, near-side stop",MuniZone,75,Nearside,0,,37.77653,-122.42615,N,,Rescinded,0,12,Pilot,Shelter,Remove,,,03/18/2016 12:00:00 AM +0000,"(37.776525056153325, -122.42613678361194)",22,4,11,9
126,,5953,"Park Presidio&Geary Blvd NE corner, shuttle zone north of stop",MuniZone,FLAG STOP,Farside,0,Bus,37.780932,-122.472188,Y,,Approved,39,20,Pilot,Shelter,Shelter,,,03/10/2016 12:00:00 AM +0000,"(37.78024006722711, -122.47239356027563)",5,8,4,29
139,,20016,"Castro St&18th St NW corner, white zone, 6-10am",WhiteZone,100,Nearside,4,Meter,37.76114,-122.43514,Y,AM,Approved,77,61,Pilot,ExistingPole,,,,03/10/2016 12:00:00 AM +0000,"(37.761130064075786, -122.43511357605462)",38,3,5,5
16,,4424,"Divisadero St&Haight St SW corner, far-side stop",PeakExtensionZone,75,Farside,2,RPP,37.77105,-122.4371,Y,AM,Approved,69,65,Pilot,Shelter,Shelter,,,03/10/2016 12:00:00 AM +0000,"(37.771040062403365, -122.43707357361403)",112,4,11,3
10,,4421,"Divisadero St&Geary Blvd NE corner, far-side stop",MuniZone,75,Farside,0,Bus,37.78368,-122.43945,Y,,Approved,40,28,Pilot,Shelter,Shelter,,,03/10/2016 12:00:00 AM +0000,"(37.78367006153627, -122.43942356979873)",103,4,11,15
98,,6022,"Post St&Powell St SE corner, far-side stop",MuniZone,100-BI,Farside,0,Bus,37.7883,-122.40793,Y,,Approved,2,0,Pilot,NewLandor,Landor,,,03/10/2016 12:00:00 AM +0000,"(37.788290055852855, -122.40790357797245)",19,6,3,8
122,,20032,"Fell St&Laguna St NW corner, white zone, 4-8pm",WhiteZone,80,Farside,2,Unreg,37.7755,-122.42643,Y,PM,Approved,8,0,5/23/16,,,,White Zone,04/19/2016 12:00:00 AM +0000,"(37.77549006025804, -122.42640357569205)",22,4,11,9
45,,3536,"30th St&Church St SW corner, flag stop",MuniZone,FLAG STOP,Nearside,0,,37.74204,-122.42676,N,,Rescinded,0,29,Pilot,ExistingPole,Remove,,,03/18/2016 12:00:00 AM +0000,"(37.74203505903801, -122.42674678751341)",59,9,5,10
58,,3322,"18th St&Church St NE corner, near-side stop",MuniZone,75,Nearside,0,,37.76135,-122.4282,N,,Rescinded,0,47,Pilot,Shelter,Remove,,,03/18/2016 12:00:00 AM +0000,"(37.76134505755257, -122.42818678506433)",37,3,5,5
77,,20052,"Larkin St & Post St NE corner, far-side, 4-10pm",WhiteZone,92,Farside,4,Meter,37.787195,-122.418268,Y,PM,Approved,,,1/29/18,,,,,,"(37.78716298169409, -122.41814567957229)",50,6,3,21
109,,3649,"Arguello Blvd&Geary Blvd NW corner, near-side stop",MuniZone,100,Nearside,0,Bus,37.78145,-122.45897,Y,,Approved,8,0,Pilot,Shelter,Shelter,,,03/10/2016 12:00:00 AM +0000,"(37.78144006314582, -122.45894356614328)",5,8,4,11
132,,5952,"Park Presidio&Geary Blvd SW corner, shuttle zone south of stop",MuniZone,FLAG STOP,Farside,0,Bus,37.780326,-122.472485,Y,,Approved,43,40,Pilot,Shelter,Shelter,,,03/10/2016 12:00:00 AM +0000,"(37.78115006613703, -122.47218356120142)",5,8,4,11
53,,5011,"Hayes St&Steiner St NW corner, far-side stop",MuniZone,90,Farside,0,,37.77563,-122.4332,N,,Rescinded,0,19,Pilot,Shelter,Remove,,,03/18/2016 12:00:00 AM +0000,"(37.775625056742285, -122.4331867826631)",23,4,11,9
40,,4495,"Eddy St&Van Ness Ave SE corner, far-side stop",MuniZone,75,Farside,0,Bus,37.7829,-122.42035,N,,Rescinded,0,0,Pilot,Shelter,Shelter,,,03/10/2016 12:00:00 AM +0000,"(37.78289005820492, -122.42032357674245)",20,4,10,36
128,,4410,"Divisadero St&California St SW corner, far-side stop",MuniZone,65,Farside,0,Bus,37.78782,-122.44049,Y,,Rescinded,74,72,Pilot,ExistingPole,Landor,,,03/10/2016 12:00:00 AM +0000,"(37.78781006027186, -122.44046357016306)",103,4,6,30
48,,20007,"Lombard St&Pierce St SE corner, white zone, 6-10am, 4-8pm",WhiteZone,82,Farside,2,Meter,37.79942,-122.43896,Y,AM PM,Rescinded,47,56,Pilot,New,,,,03/10/2016 12:00:00 AM +0000,"(37.799415055207135, -122.4389467780423)",14,4,6,13
14,,3932,"Cesar Chavez St&Folsom St SW corner, far-side stop",MuniZone,15,Farside,0,Bus,37.74815,-122.41382,Y,,Approved,13,9,Pilot,Shelter,Shelter,,,03/10/2016 12:00:00 AM +0000,"(37.74814006259056, -122.41379358574291)",83,3,2,2
52,,20008,"South Van NessAve&Market St SW corner, white zone, 6-10am",WhiteZone,141,Farside,5,Meter,37.77473,-122.41924,Y,AM,Rescinded,0,44,Pilot,New,,,,03/10/2016 12:00:00 AM +0000,"(37.77472505579688, -122.41922678485308)",32,1,10,20
135,,20023,"19th Ave&Wawona St, W side, mid-block, white zone, 6-10am",WhiteZone,120,Mid-block,6,Unreg,37.73855,-122.47549,Y,AM,Approved,39,0,4/1/16,NewLandor,,,,03/10/2016 12:00:00 AM +0000,"(37.73854007387703, -122.47546357064623)",40,10,7,35
106,,20057,"South Van Ness Ave & 17th St, SE corner, white zone, 6-10am",WhiteZone,100,Farside,5,Unreg,37.76332,-122.417446,Y,AM,Approved,,,6/26/19,,,,,,"(37.763335933600686, -122.41738943644701)",53,3,2,20
34,,7185,"Broadway&Grant Ave NW corner, far-side stop",MuniZone,100,Farside,0,Bus,37.79785,-122.40734,Y,,Rescinded,17,0,4/1/16,NewLandor,Landor,,,03/18/2016 12:00:00 AM +0000,"(37.797840054023574, -122.40731357695212)",106,6,3,6
70,,3466,"24th St & Dolores St NW corner, far-side stop",PeakExtensionZone,75-130,Farside,2,RPP,37.75185,-122.42559,Y,PM,Approved,,,9/25/17,,,,,,"(37.7518508851348, -122.42545020457194)",52,3,5,22
31,,4408,"Divisadero St&Bush St NE corner, far-side stop",PeakExtensionZone,90-134,Farside,2,Meter,37.78646,-122.440026,Y,,Approved,38,,2/24/17,,,,,,"(37.786558884331704, -122.43987474039623)",103,4,6,30
164,,20029,"Oak St&Steiner St SE corner, white zone, 6-10am",WhiteZone,80,Farside,3,RPP,37.77375,-122.43233,Y,AM,Approved,34,0,5/23/16,,,,White Zone,04/19/2016 12:00:00 AM +0000,"(37.773740061832925, -122.43230357501349)",26,4,11,9
28,,7551,"Cesar Chavez St&Mission St SE corner, far-side stop",MuniZone,80,Farside,0,Bus,37.7481,-122.41808,Y,,Approved,8,12,Pilot,Shelter,Shelter,,,03/10/2016 12:00:00 AM +0000,"(37.7480900639053, -122.41805358411207)",83,3,2,2
37,,5284,"Lombard St&Pierce St SW corner, near-side stop",MuniZone,107,Nearside,0,Bus,37.79954,-122.43921,Y,,Rescinded,69,86,Pilot,NewLandor,Landor,,,03/10/2016 12:00:00 AM +0000,"(37.799535055215536, -122.43919677899102)",17,4,6,13
63,,4623,"Fillmore St&Jackson St NE corner, far-side stop",MuniZone,75,Farside,0,Bus,37.79276,-122.43456,N,,Rescinded,0,30,Pilot,Shelter,Shelter,,,03/10/2016 12:00:00 AM +0000,"(37.79275505543284, -122.4345467804728)",102,4,6,30
76,,7215,"Ellis St&Mason St NE corner, near-side stop",MuniZone,65,Nearside,0,Bus,37.78536,-122.40937,N,,Rescinded,0,6,Pilot,Shelter,Shelter,,,03/10/2016 12:00:00 AM +0000,"(37.78535505420076, -122.4093567850957)",19,5,10,36
154,,5834,"O'Shaughnessy Blvd&Portola Dr SW corner, far-side stop",MuniZone,FLAG STOP,Farside,0,Bus,37.74502,-122.45127,Y,,Approved,19,6,Pilot,Shelter (old),Shelter,,,03/10/2016 12:00:00 AM +0000,"(37.74501006857903, -122.45124357551163)",72,9,5,10
101,,3172,"5th St&Mission St NE corner, far-side stop",MuniZone,60,Farside,0,Bus,37.78296,-122.40665,Y,,Rescinded,5,0,4/1/16,NewLandor,Landor,,,03/18/2016 12:00:00 AM +0000,"(37.78295005719909, -122.40662358078323)",32,5,10,34
22,,5273,"Lombard St&Divisadero St NW corner, far-side stop",MuniZone,125,Farside,0,Bus,37.79889,-122.44279,Y,,Approved,10,0,Pilot,Shelter + Landor,Shelter,,,03/10/2016 12:00:00 AM +0000,"(37.79888005853025, -122.44276356653442)",14,4,6,13
69,,3460,"24th St&Church St NE corner, bus bulb",MuniZone,40,Nearside,0,Bus,37.75174,-122.42729,Y,,Rescinded,81,27,Pilot,Shelter (old),Shelter,,,03/10/2016 12:00:00 AM +0000,"(37.75173006427702, -122.42726358131505)",52,3,5,22
60,,20013,"Powell St&Filbert St NE corner, white zone, 4-8pm",WhiteZone,40,Farside,2,RPP,37.80121,-122.41105,N,PM,Rescinded,0,28,Pilot,New,,,Remove Zone,04/19/2016 12:00:00 AM +0000,"(37.801205053018904, -122.41103678300469)",106,6,3,23
159,,20001,"17th St&Wisconsin St NW corner, white zone, 6-10am, 4-8pm",WhiteZone,60,Farside,3,Unreg,37.76499,-122.39998,N,AM PM,Approved,13,17,Pilot,ExistingPole,,,,03/10/2016 12:00:00 AM +0000,"(37.764980057192744, -122.39995358586297)",54,1,9,4
138,,3650,"Arguello Blvd&Geary Blvd SE corner, near-side stop",MuniZone,106,Nearside,0,Bus,37.78108,-122.45877,Y,,Approved,2,2,Pilot,Shelter,Shelter,,,03/10/2016 12:00:00 AM +0000,"(37.78107006416156, -122.45874356521605)",12,8,4,18
67,,6878,"Valencia St&25th St NE corner, far-side stop",MuniZone,60,Farside,0,,37.75075,-122.42044,Y,,Rescinded,0,66,Pilot,ExistingPole,Landor,,,03/10/2016 12:00:00 AM +0000,"(37.750745057859525, -122.42042678745035)",53,3,2,20
64,,3851,"California St&Battery St SE corner, far-side stop",MuniZone,FLAG STOP,Farside,0,Bus,37.79314,-122.40007,Y,,Rescinded,0,0,Pilot,NewLandor,Landor,,,03/10/2016 12:00:00 AM +0000,"(37.793135052880444, -122.40005678558346)",108,6,3,8
105,,20033,"Fell St&Masonic St NW corner, white zone, 6-10am, 4-8pm",WhiteZone,116,Farside,3,RPP,37.77295,-122.44623,Y,AM PM,Approved,14,0,5/23/16,,,,White Zone,04/19/2016 12:00:00 AM +0000,"(37.77294006391376, -122.44620357103052)",24,7,11,12
92,,6816,"Van Ness Ave&McAllister St SW corner, far-side stop",MuniZone,75,Farside,0,,37.77969,-122.42032,Y,,Rescinded,0,31,Pilot,Shelter,Shelter,,,03/10/2016 12:00:00 AM +0000,"(37.77968505546748, -122.42030678411666)",21,4,11,9
136,,6692,"Townsend St&3rd St, NW corner, far-side stop",MuniZone,80,Farside,0,Bus,37.77868,-122.39311,N,,Approved,10,8,Pilot,ExistingPole,Landor,,,03/10/2016 12:00:00 AM +0000,"(37.77867005456274, -122.3930835853042)",32,1,10,34
73,,20015,"8th St & Market St SW corner, white zone, 6-10am, 3-7pm",WhiteZone,85,Farside,4,Meter,37.77827,-122.41427,Y,AM PM,Rescinded,59,71,Pilot,ExistingPole,,,,03/10/2016 12:00:00 AM +0000,"(37.77826005814191, -122.41424358018799)",32,5,10,34
62,,20055,"Pine St, north side, east of Van Ness Ave, white zone, 4-10pm",WhiteZone,99,Mid-block,5,Meter,37.789598,-122.421557,Y,PM,Approved,,,1/29/18,,,,,,"(37.78956315475298, -122.4216540717695)",105,4,3,21
79,,5948,"Park Presidio Blvd&California St SW corner, far-side stop",MuniZone,FLAG STOP,Farside,0,Bus,37.78487,-122.47248,Y,,Rescinded,3,2,Pilot,Shelter (old),Shelter,,,03/10/2016 12:00:00 AM +0000,"(37.78486505885278, -122.4724667757282)",5,8,4,11
116,,3744,"Bryant St&23rd St SE corner, near-side stop",MuniZone,85,Nearside,0,Bus,37.75431,-122.40919,N,,Approved,4,4,Pilot,New,,,,03/10/2016 12:00:00 AM +0000,"(37.754300061745084, -122.40916358572231)",53,3,2,20
21,,7750,"Cesar Chavez St&Florida ST NE corner, near-side stop",MuniZone,FLAG STOP,Nearside,0,Bus,37.748374,-122.409558,Y,,Approved,16,11,Pilot,,Landor,,,03/10/2016 12:00:00 AM +0000,"(37.74841587725341, -122.40948223935537)",53,3,2,20
143,,20021,"Townsend St&4th St south side, mid-block",WhiteZone,160,Mid-block,0,24hr,37.77603,-122.39622,N,,Approved,27,85,Pilot,NewLandor,,,,03/10/2016 12:00:00 AM +0000,"(37.776020056008235, -122.39619358514622)",34,1,10,4
88,,20045,"Gough St&Turk St SW corner, white zone, 6-10am",WhiteZone,75 to 205 feet south,Farside,6,Meter,37.78125,-122.42394,Y,AM,Rescinded,0,0,9/12/16,,,,,,"(37.78124505560351, -122.42392678339486)",100,4,11,39
54,,4475,"Eddy St&Fillmore St NE corner, near-side stop",MuniZone,100,Nearside,0,Bus,37.78149,-122.43221,N,,Rescinded,0,1,Pilot,NewLandor,Landor,,,03/10/2016 12:00:00 AM +0000,"(37.78148505618795, -122.43219678213153)",97,4,11,39
121,,3734,"Bryant St&18th St NW corner, near-side stop",MuniZone,85,Nearside,0,Bus,37.76187,-122.4102,N,,Approved,10,13,Pilot,Shelter,Shelter,,,03/10/2016 12:00:00 AM +0000,"(37.76186006019571, -122.41017358369635)",53,3,2,20
18,,3930,"Cesar Chavez St&Florida St SW corner, near-side stop",MuniZone,75,Nearside,0,Bus,37.74823,-122.40976,Y,,Approved,19,14,Pilot,Shelter,Shelter,,,03/10/2016 12:00:00 AM +0000,"(37.74822006228789, -122.40973358734044)",60,3,2,2
90,,4983,"Hayes St&Buchanan St NW corner, far-side stop",MuniZone,75,Farside,0,,37.77626,-122.42827,N,,Rescinded,0,2,Pilot,Shelter,Remove,,,03/18/2016 12:00:00 AM +0000,"(37.7762550563304, -122.42825678332649)",22,4,11,9
140,,7669,"9th St&Market St SE corner, near-side stop",MuniZone,95,Nearside,0,Bus,37.77748,-122.41627,Y,,Approved,118,58,Pilot,Landor,Landor,,,03/10/2016 12:00:00 AM +0000,"(37.77747005835304, -122.4162435779807)",32,5,10,34
96,,3400,"19th Ave&Wawona St NW, near-side stop",MuniZone,,Nearside,0,,37.73756,-122.4755,Y,,Rescinded,0,35,Pilot,,,,,,"(37.737555062959686, -122.47548678075658)",40,10,7,35
23,,5829,"100 O'Shaughnessy Blvd east side, mid-block",MuniZone,FLAG STOP,Mid-block,0,Bus,37.74439,-122.4506,Y,,Approved,5,7,Pilot,Shelter (old),Shelter,,,03/10/2016 12:00:00 AM +0000,"(37.74438006958201, -122.45057357568452)",96,9,5,10
29,,3342,"18th St&Pennsylvania Ave NE corner, near-side stop",MuniZone,75,Nearside,0,Bus,37.76283,-122.39347,N,,Approved,2,2,Pilot,ExistingPole,Landor,,,03/10/2016 12:00:00 AM +0000,"(37.76282005789579, -122.39344358908659)",54,2,9,26
93,,5285,"Lombard St&Pierce St NE corner, near-side stop",MuniZone,110,Nearside,0,Bus,37.79931,-122.43944,Y,,Rescinded,90,70,Pilot,Shelter,Shelter,,,03/10/2016 12:00:00 AM +0000,"(37.799305055251274, -122.43942677898335)",14,4,6,13
66,,4997,"Hayes St&Larkin St NW corner, far-side stop",MuniZone,90,Farside,0,Bus,37.77771,-122.41685,N,,Rescinded,0,3,Pilot,Shelter,Shelter,,,03/10/2016 12:00:00 AM +0000,"(37.77770505537701, -122.41683678586476)",21,4,10,36
