id,2010,2011,2012,2013,2014,2015,2016,2017,2018
6075023003,76406,80906,79512,79890,85043,81569,76528,74113,77365
6075023102,26987,29774,30754,34617,35390,31434,35951,28618,31065
6075023103,20018,21818,19794,18846,17895,19618,22697,21415,25871
6075023200,50156,46250,41476,43906,42344,42212,49583,54375,60345
6075023300,66250,84145,82321,75857,70450,65096,54566,55600,58125
6075023400,36544,37306,50650,54786,52841,34464,39750,40648,41724
6075025100,77893,81351,85282,85345,96023,95156,103700,148500,153021
6075025200,98815,109375,123500,108179,94271,128009,130099,133310,139444
6075025300,88711,100200,102813,113854,106429,93900,104545,126563,144583
6075025401,79295,69318,67984,80139,95481,88462,110313,114211,122232
6075025402,99732,75938,86167,87844,102065,137721,123313,128750,129405
6075025403,66500,66298,74500,66667,73194,73159,88262,94135,109118
6075025500,76732,86343,86526,92656,88269,92216,103275,106000,114015
6075025600,63800,66115,69556,71367,70582,73452,73730,74688,85288
6075025701,79083,83103,78922,78819,80592,78708,80565,95669,98724
6075025702,60500,60885,65047,55215,60805,60836,59926,63311,65875
6075025800,46250,48264,53274,46447,51983,56250,72868,72411,91250
6075025900,84618,90556,90409,82500,87188,87188,89896,101935,113384
6075026001,72567,77273,78225,63449,63817,60938,60694,62656,74883
6075026002,56875,65921,59007,62250,68583,84063,86900,94200,100000
6075026003,76108,65055,62574,57461,56016,59792,65282,62563,81071
6075026004,75057,72390,73700,62452,61032,65862,75962,86192,95655
6075026100,71404,68897,68889,68139,60469,62652,72350,78640,89917
6075026200,87156,83750,79375,79707,77194,75060,76137,79861,77928
6075026301,63175,59333,58125,52484,54430,56531,65625,65893,70345
6075026302,57813,60915,64449,66528,68281,72666,76386,79375,84457
6075026303,91698,84583,82727,79702,78264,75096,83047,80690,92992
6075026401,49000,49821,46454,46514,45451,46150,50694,59453,75156
6075026402,59625,59743,68409,65642,75603,80395,82969,87404,82010
6075026403,48125,40313,39875,39000,43839,50372,66875,61131,75455
6075026404,44128,44219,43444,52527,52614,41890,48000,54958,54805
6075030101,92000,92969,81495,74418,73389,79071,94857,117668,122264
6075030102,91827,94558,101755,103404,115507,110433,111651,123333,147549
6075030201,69267,76442,78797,83333,86875,89821,91387,97039,111000
6075030202,83077,77165,75820,84531,92305,96547,105457,114535,123139
6075030301,92207,92976,90841,91922,101417,109670,130234,140179,141125
6075030302,110673,125077,125294,128858,125347,132417,133984,135143,138125
6075030400,126818,122159,140500,141553,147976,150221,154769,156786,160733
6075030500,106007,110114,111703,107466,110714,107824,109352,122813,143558
6075030600,138056,141875,139375,129531,145000,145625,158421,155000,172500
6075030700,128203,131840,127175,132396,122121,120308,126875,139531,146618
6075030800,122139,130347,129792,132037,131377,131699,134481,151250,152351
6075030900,144900,147759,140213,147669,145476,145363,157820,174946,171595
6075031000,91907,96509,97222,104744,110313,122391,128517,131544,153456
6075031100,101641,108224,106490,108049,104732,103838,110417,112750,127011
6075031201,65732,68010,68531,71431,73779,74010,80462,81443,83381
6075031202,67271,72944,75972,72378,71628,74576,73839,77267,79712
6075031301,72682,84167,82530,72348,95352,95449,93750,97866,101116
6075031302,82901,73871,69278,71071,65804,66658,67438,78548,77260
