id,GEOID,rent2010,rent2011,rent2012,rent2013,rent2014,rent2015,rent2016,rent2017,rent2018,increaseFrom2010to2018,pctIncreaseFrom2010to2018
6075017000,06075017000,1609,1778,1816,1859,"2,000+",2082,2130,2339,2504,895,0.556246116
6075017101,06075017101,1575,1753,1857,1945,1890,1895,1962,2166,2375,800,0.507936508
6075017102,06075017102,1722,1831,1905,1984,1901,2123,2157,2148,2416,694,0.403019744
6075017601,06075017601,762,745,751,744,738,821,824,977,995,233,0.305774278
6075017700,06075017700,1264,1507,1500,1610,1544,1551,1653,1782,1766,502,0.397151899
6075017801,06075017801,300,307,291,289,294,291,296,342,433,133,0.443333333
6075017802,06075017802,1387,1476,1362,1501,1088,1222,1141,1237,1395,8,0.005767844
6075017902,06075017902,1974,1753,1603,1582,1647,1732,1856,2010,2135,161,0.081560284
6075018000,06075018000,"2,000+",1591,"2,000+","2,000+","2,000+",2386,2591,2618,2553,#VALUE!,#VALUE!
6075020100,06075020100,875,831,834,817,860,838,1009,1042,1126,251,0.286857143
6075020200,06075020200,1148,1264,1327,1333,1407,1341,1359,1168,1385,237,0.206445993
6075020300,06075020300,1637,1664,1693,1757,1701,1639,1698,1894,2029,392,0.239462431
6075020401,06075020401,1769,"2,000+",1972,1942,"2,000+",2096,2149,2312,2413,644,0.364047484
6075020402,06075020402,1533,1574,1686,1691,1843,1800,1895,1931,2100,567,0.369863014
6075020500,06075020500,1391,1624,1623,1708,1712,1775,1939,2021,1983,592,0.425593098
6075020600,06075020600,1617,1666,1703,1749,1767,1828,1915,2018,2112,495,0.306122449
6075020700,06075020700,1492,1445,1637,1832,1782,1878,2093,2051,1990,498,0.333780161
6075020800,06075020800,1012,1093,1091,1075,1138,1189,1246,1381,1446,434,0.428853755
6075020900,06075020900,963,1026,1115,1134,1200,1193,1358,1435,1601,638,0.66251298
6075021000,06075021000,1419,1501,1578,1735,1736,1642,1572,1752,1710,291,0.205073996
6075021100,06075021100,1631,1803,"2,000+",1827,"2,000+",2246,2262,2186,2277,646,0.396076027
6075021200,06075021200,1619,1794,1774,1884,1952,2125,2103,2025,1950,331,0.20444719
6075021300,06075021300,1674,1722,1752,1765,1732,1788,1882,2107,2271,597,0.356630824
6075021400,06075021400,1692,1695,1834,1849,1987,2524,2669,2612,2567,875,0.51713948
6075021500,06075021500,1625,1640,1744,1605,1488,1661,1784,1904,2363,738,0.454153846
6075021600,06075021600,1498,1637,1744,1834,"2,000+",2202,2522,2606,2607,1109,0.740320427
6075021700,06075021700,1261,1304,974,1296,1335,1311,1359,1464,1342,81,0.064234734
6075021800,06075021800,1783,1983,"2,000+",1941,"2,000+",2018,1879,1802,1925,142,0.079641054
6075022600,06075022600,"2,000+","2,000+","2,000+","2,000+","2,000+",2902,3095,3141,3151,#VALUE!,#VALUE!
6075022702,06075022702,1843,1924,1885,"2,000+","2,000+",2216,2223,2425,2391,548,0.297341291
6075022704,06075022704,"2,000+","2,000+","2,000+","2,000+","2,000+",2266,2289,2614,2350,#VALUE!,#VALUE!
6075022801,06075022801,1350,1453,1547,1725,1806,1809,1765,1916,1842,492,0.364444444
6075022802,06075022802,1233,1236,1211,1262,1241,1229,1300,1372,1494,261,0.211678832
6075022803,06075022803,1403,1497,1445,1536,1442,1576,1616,1901,2085,682,0.486101212
6075022901,06075022901,1257,1342,1507,1576,1545,1605,1641,1559,1968,711,0.565632458
6075022902,06075022902,1407,1457,1428,1425,1470,1653,1938,2003,2091,684,0.486140725
6075022903,06075022903,1382,1567,1605,1663,1605,1629,1651,1831,2006,624,0.451519537
6075023001,06075023001,1220,980,994,972,1177,1156,1198,1152,1181,-39,-0.031967213
6075023003,06075023003,930,1102,1250,1655,1724,1684,2076,2193,1981,1051,1.130107527
6075023102,06075023102,707,570,554,691,707,561,693,621,596,-111,-0.157001414
6075023103,06075023103,413,429,437,433,427,456,606,690,778,365,0.88377724
6075023200,06075023200,1167,1189,1098,1018,1179,1120,1176,1230,1566,399,0.341902314
6075023300,06075023300,1738,1615,1505,1191,886,849,819,821,821,-917,-0.527617952
6075023400,06075023400,706,693,665,736,673,669,519,500,668,-38,-0.053824363
6075025100,06075025100,1868,"2,000+","2,000+","2,000+",1735,1883,1706,1957,1821,-47,-0.0251606
6075025200,06075025200,1352,1476,1685,1690,1709,2017,1809,1847,1855,503,0.37204142
6075025300,06075025300,1308,1365,1472,1435,1578,1523,1604,1684,1848,540,0.412844037
6075025401,06075025401,1534,1461,1309,1369,1216,1420,1604,1797,1889,355,0.231421121
6075025402,06075025402,1265,1403,1403,1467,1411,2321,2356,1974,1969,704,0.556521739
6075025403,06075025403,989,1044,1336,1379,1396,1235,1323,1238,1487,498,0.503538928
6075025500,06075025500,1289,1349,1742,1843,1778,2004,1928,1715,1806,517,0.401086113
6075025600,06075025600,"2,000+","2,000+","2,000+","2,000+",1234,1164,1152,1148,1096,#VALUE!,#VALUE!
6075025701,06075025701,1605,1488,1628,1463,1444,2006,2002,1980,2000,395,0.246105919
6075025702,06075025702,1497,1345,994,1091,1444,1481,1647,1644,1686,189,0.126252505
6075025800,06075025800,1078,1049,1015,1050,1148,1185,1358,1488,1578,500,0.463821892
6075025900,06075025900,1799,1789,1856,1835,1874,1829,1903,1967,2010,211,0.117287382
6075026001,06075026001,1182,1353,1361,1398,1351,1409,1432,1549,1645,463,0.391708968
6075026002,06075026002,1649,1639,1638,1624,1608,1766,1863,2354,2145,496,0.300788357
